Documento 1:
Index     Term           TF        IDF       TF-IDF    
14        s              1.0000    0.7985    0.7985    
15        a              1.4771    0.2877    0.4249    
16        food           1.0000    2.3026    2.3026    
17        wine           1.3010    0.9163    1.1921    
18        crisp          1.0000    1.8971    1.8971    
19        aftertaste     1.0000    2.9957    2.9957    

Documento 12:
Index     Term           TF        IDF       TF-IDF    
0         slightly       1.0000    1.8971    1.8971    
1         reduce         1.0000    2.9957    2.9957    
2         wine           1.0000    0.9163    0.9163    
3         offer          1.0000    1.6094    1.6094    
4         a              1.0000    0.2877    0.2877    
5         chalky         1.0000    2.9957    2.9957    
6         tannic         1.0000    1.8971    1.8971    
7         backbone       1.0000    2.9957    2.9957    
8         juicy          1.0000    1.8971    1.8971    
9         explosion      1.0000    2.9957    2.9957    
10        rich           1.0000    2.9957    2.9957    
11        black          1.0000    1.8971    1.8971    
12        cherry         1.0000    1.8971    1.8971    
13        accented       1.0000    2.9957    2.9957    
14        firm           1.0000    1.8971    1.8971    
15        oak            1.0000    1.2040    1.2040    
16        cigar          1.0000    2.3026    2.3026    
17        box            1.0000    2.3026    2.3026    

Documento 13:
Index     Term           TF        IDF       TF-IDF    
0         dominate       1.0000    1.8971    1.8971    
1         oak            1.3010    1.2040    1.5664    
2         oak            1.3010    1.2040    1.5664    
3         drive          1.0000    1.8971    1.8971    
4         aromas         1.0000    0.6931    0.6931    
5         include        1.0000    2.3026    2.3026    
6         roasted        1.0000    2.9957    2.9957    
7         coffee         1.0000    2.9957    2.9957    
8         bean           1.0000    2.9957    2.9957    
9         espresso       1.0000    2.9957    2.9957    
10        coconut        1.0000    2.9957    2.9957    
11        vanilla        1.0000    2.3026    2.3026    
12        carry          1.0000    1.8971    1.8971    
13        palate         1.0000    0.9163    0.9163    
14        plum           1.0000    1.6094    1.6094    
15        chocolate      1.0000    2.9957    2.9957    
16        astringent     1.0000    2.3026    2.3026    
17        drying         1.0000    2.9957    2.9957    
18        tannins        1.0000    1.8971    1.8971    
19        give           1.0000    2.3026    2.3026    
20        a              1.0000    0.2877    0.2877    
21        abrupt         1.0000    2.9957    2.9957    
22        finish         1.0000    1.2040    1.2040    

Documento 14:
Index     Term           TF        IDF       TF-IDF    
0         build          1.0000    2.9957    2.9957    
1         150            1.0000    2.9957    2.9957    
2         years          1.0000    2.9957    2.9957    
3         generations    1.0000    2.9957    2.9957    
4         winemaking     1.0000    2.9957    2.9957    
5         tradition      1.0000    2.9957    2.9957    
6         winery         1.0000    2.9957    2.9957    
7         trends         1.0000    2.9957    2.9957    
8         a              1.0000    0.2877    0.2877    
9         leaner         1.0000    2.9957    2.9957    
